Question Number,Block,Question Text,Question Type,Choices,Matrix Scale Points,Display Logic
339,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
340,,Where are you from?,Text Entry,,,
341,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
342,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
343,,What is your phone number?,Text Entry,,,
344,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
345,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
346,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
347,,Where are you from?,Text Entry,,,
348,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
349,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
350,,What is your phone number?,Text Entry,,,
351,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
352,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
353,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
354,,Where are you from?,Text Entry,,,
355,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
356,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
357,,What is your phone number?,Text Entry,,,
358,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
359,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
360,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
361,,Where are you from?,Text Entry,,,
362,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
363,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
364,,What is your phone number?,Text Entry,,,
365,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
366,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
367,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
368,,Where are you from?,Text Entry,,,
369,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
370,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
371,,What is your phone number?,Text Entry,,,
372,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
373,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
374,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
375,,Where are you from?,Text Entry,,,
376,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
377,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
378,,What is your phone number?,Text Entry,,,
379,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
380,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
381,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
382,,Where are you from?,Text Entry,,,
383,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
384,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
385,,What is your phone number?,Text Entry,,,
386,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
387,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
388,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
389,,Where are you from?,Text Entry,,,
390,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
391,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
392,,What is your phone number?,Text Entry,,,
393,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
394,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
395,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
396,,Where are you from?,Text Entry,,,
397,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
398,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
399,,What is your phone number?,Text Entry,,,
400,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
401,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
402,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
403,,Where are you from?,Text Entry,,,
404,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
405,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
406,,What is your phone number?,Text Entry,,,
407,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
408,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
409,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
410,,Where are you from?,Text Entry,,,
411,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
412,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
413,,What is your phone number?,Text Entry,,,
414,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
415,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
416,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
417,,Where are you from?,Text Entry,,,
418,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
419,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
420,,What is your phone number?,Text Entry,,,
421,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
422,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
423,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
424,,Where are you from?,Text Entry,,,
425,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
426,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
427,,What is your phone number?,Text Entry,,,
428,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
429,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
430,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
431,,Where are you from?,Text Entry,,,
432,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
433,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
434,,What is your phone number?,Text Entry,,,
435,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
436,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
437,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
438,,Where are you from?,Text Entry,,,
439,Block 3,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
440,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
441,,What is your phone number?,Text Entry,,,
442,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
443,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
444,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
445,,Where are you from?,Text Entry,,,
446,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
447,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
448,,What is your phone number?,Text Entry,,,
449,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
450,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
451,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
452,,Where are you from?,Text Entry,,,
453,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
454,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
455,,What is your phone number?,Text Entry,,,
456,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
457,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
458,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
459,,Where are you from?,Text Entry,,,
460,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
461,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
462,,What is your phone number?,Text Entry,,,
463,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
464,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
465,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
466,,Where are you from?,Text Entry,,,
467,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
468,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
469,,What is your phone number?,Text Entry,,,
470,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
471,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
472,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
473,,Where are you from?,Text Entry,,,
474,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
475,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
476,,What is your phone number?,Text Entry,,,
477,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
478,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
479,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
480,,Where are you from?,Text Entry,,,
481,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
482,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
483,,What is your phone number?,Text Entry,,,
484,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
485,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
486,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
487,,Where are you from?,Text Entry,,,
488,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
489,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
490,,What is your phone number?,Text Entry,,,
491,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
492,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
493,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
494,,Where are you from?,Text Entry,,,
495,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
496,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
497,,What is your phone number?,Text Entry,,,
498,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
499,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
500,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
501,,Where are you from?,Text Entry,,,
502,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
503,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
504,,What is your phone number?,Text Entry,,,
505,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
506,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
507,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
508,,Where are you from?,Text Entry,,,
509,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
510,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
511,,What is your phone number?,Text Entry,,,
512,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
513,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
514,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
515,,Where are you from?,Text Entry,,,
516,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
517,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
518,,What is your phone number?,Text Entry,,,
519,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
520,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
521,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
522,,Where are you from?,Text Entry,,,
523,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
524,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
525,,What is your phone number?,Text Entry,,,
526,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
527,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
528,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
529,,Where are you from?,Text Entry,,,
530,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
531,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
532,,What is your phone number?,Text Entry,,,
533,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
534,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
535,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
536,,Where are you from?,Text Entry,,,
537,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
538,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
539,,What is your phone number?,Text Entry,,,
540,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
541,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
542,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
543,,Where are you from?,Text Entry,,,
544,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
545,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
546,,What is your phone number?,Text Entry,,,
547,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
548,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
549,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
550,,Where are you from?,Text Entry,,,
551,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
552,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
553,,What is your phone number?,Text Entry,,,
554,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
555,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
556,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
557,,Where are you from?,Text Entry,,,
558,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
559,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
560,,What is your phone number?,Text Entry,,,
561,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
562,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
563,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
564,,Where are you from?,Text Entry,,,
565,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
566,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
567,,What is your phone number?,Text Entry,,,
568,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
569,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
570,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
571,,Where are you from?,Text Entry,,,
572,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
573,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
574,,What is your phone number?,Text Entry,,,
575,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
576,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
577,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
578,,Where are you from?,Text Entry,,,
579,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
580,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
581,,What is your phone number?,Text Entry,,,
582,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
583,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
584,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
585,,Where are you from?,Text Entry,,,
586,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
587,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
588,,What is your phone number?,Text Entry,,,
589,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
590,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
591,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
592,,Where are you from?,Text Entry,,,
593,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
594,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
595,,What is your phone number?,Text Entry,,,
596,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
597,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
598,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
599,,Where are you from?,Text Entry,,,
600,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
601,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
602,,What is your phone number?,Text Entry,,,
603,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
604,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
605,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
606,,Where are you from?,Text Entry,,,
607,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
608,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
609,,What is your phone number?,Text Entry,,,
610,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
611,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
612,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
613,,Where are you from?,Text Entry,,,
614,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
615,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
616,,What is your phone number?,Text Entry,,,
617,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
618,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
619,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
620,,Where are you from?,Text Entry,,,
621,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
622,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
623,,What is your phone number?,Text Entry,,,
624,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
625,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
626,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
627,,Where are you from?,Text Entry,,,
628,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
629,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
630,,What is your phone number?,Text Entry,,,
631,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
632,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
633,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
634,,Where are you from?,Text Entry,,,
635,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
636,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
637,,What is your phone number?,Text Entry,,,
638,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
639,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
640,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
641,,Where are you from?,Text Entry,,,
642,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
643,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
644,,What is your phone number?,Text Entry,,,
645,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
646,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
647,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
648,,Where are you from?,Text Entry,,,
649,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
650,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
651,,What is your phone number?,Text Entry,,,
652,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
653,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
654,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
655,,Where are you from?,Text Entry,,,
656,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
657,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
658,,What is your phone number?,Text Entry,,,
659,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
660,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
661,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
662,,Where are you from?,Text Entry,,,
663,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
664,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
665,,What is your phone number?,Text Entry,,,
666,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
667,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
668,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
669,,Where are you from?,Text Entry,,,
670,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
671,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
672,,What is your phone number?,Text Entry,,,
673,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
674,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
675,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
676,,Where are you from?,Text Entry,,,
677,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
678,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
